x y z m s
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.03 16 17
0.92 0.98 17.02 16 17
0.93 0.98 17.02 16 17
0.93 0.98 17.02 16 17
0.93 0.98 17.02 16 17
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 18
0.93 0.98 17.02 16 19
0.93 0.98 17.02 16 19
0.93 0.98 17.02 16 19
0.93 0.98 17.02 16 19
0.93 0.98 17.02 16 19
0.93 0.99 17.02 16 19
0.93 0.99 17.02 16 19
0.93 0.98 17.02 16 19
0.93 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 19
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.94 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.95 0.98 17.02 16 20
0.96 0.98 17.02 16 20
0.96 0.98 17.02 16 20
0.96 0.98 17.02 16 21
0.96 0.98 17.03 16 21
0.96 0.98 17.03 16 21
0.96 0.98 17.03 16 21
0.96 0.98 17.03 16 21
0.97 0.98 17.03 16 21
0.97 0.98 17.03 16 21
0.97 0.98 17.03 16 21
0.97 0.98 17.03 16 21
0.97 0.98 17.02 16 21
0.97 0.98 17.02 16 21
0.97 0.98 17.02 16 21
0.97 0.98 17.02 16 21
0.98 0.98 17.02 16 21
0.98 0.98 17.02 16 21
0.98 0.98 17.02 16 21
0.98 0.98 17.02 16 21
0.98 0.97 17.02 16 21
0.98 0.97 17.02 16 21
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.98 0.97 17.02 16 22
0.99 0.97 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 22
0.99 0.96 17.02 16 23
0.99 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 23
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.96 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 24
0.98 0.95 17.02 16 25
0.98 0.95 17.02 16 25
0.98 0.95 17.02 16 25
0.98 0.95 17.02 16 25
0.98 0.95 17.01 16 25
0.98 0.95 17.01 16 25
0.98 0.95 17.01 16 25
0.98 0.95 17.01 16 25
0.98 0.95 17.01 16 25
0.98 0.95 17.01 16 25
0.98 0.94 17.01 16 25
0.98 0.95 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 25
0.98 0.94 17 16 26
0.98 0.94 17 16 26
0.98 0.94 17 16 26
0.98 0.94 17 16 26
